Sender	Receiver	Amount	Priority
JKR	DPJ	569	N
RNW	OVH	685	U
MRZ	IKW	484	HU
YTD	PNL	132	U
DYE	DVF	432	N
YVF	XAD	556	HU
CBF	GOX	288	HU
SJN	FJD	493	HU
KHW	PAE	187	HU
YVI	AEG	277	N
KJH	DMV	467	N
BHV	FVE	273	N
AEK	OMZ	337	HU
XDF	OPV	198	HU
JMX	QMZ	721	HU
VWW	JAD	347	HU
NGF	HJH	73	HU
DNH	MRB	618	HU
TAH	NLP	214	U
DOA	SBH	774	U
FIX	UDF	434	HU
FAF	TSM	553	N
UPD	YJG	282	N
DLB	UDI	605	HU
TQH	BLT	382	N
LHY	GKR	512	U
FGF	WKT	114	N
KPZ	CTR	405	HU
XAD	BTW	546	N
QTZ	VHO	468	U
UOA	TVY	608	N
EOZ	UCW	494	HU
ALJ	UWV	449	HU
RDO	KRA	735	N
FZP	TLF	542	U
QMI	WGA	555	U
UEN	RRN	231	HU
XHU	AXT	270	HU
FJQ	YZK	462	U
BGA	CBH	397	U
UXP	RTI	530	U
QPJ	DLI	670	HU
ZTW	CNJ	662	N
PUN	YZA	533	HU
TRA	XOT	422	HU
BAX	CGX	372	HU
ADN	JPU	475	N
VPX	AOF	609	HU
EVS	GJK	682	HU
IRB	RUO	624	U
WSK	QGE	509	N
UKE	HQX	441	HU
HPA	DRR	638	HU
EWS	FUM	640	U
SRE	MNT	475	U
HXU	VEK	557	N
BQC	MYT	717	N
RRJ	QSJ	219	U
QZJ	OJH	96	HU
QOW	FVE	308	N
FAS	IKW	336	HU
ZPO	RGG	387	N
BZC	HGW	622	N
UDH	GHY	281	U
YJG	HFJ	880	N
GVY	GJK	130	N
OCA	ZWM	654	N
KUL	KRP	431	U
QSD	III	547	N
SKK	AXK	638	U
CIM	HVJ	181	N
OFO	UEK	895	HU
BQI	NRH	363	HU
NGA	TAY	302	U
TRK	EVS	675	HU
XSN	JND	922	U
YYU	ZIM	537	N
ZTU	EOZ	372	U
UZH	OBI	323	U
WAL	QGP	222	HU
EFU	MZD	351	HU
HSU	FRM	547	U
GQI	IIR	249	U
NRH	CGO	684	N
UUM	JRF	219	HU
UUZ	DDC	654	HU
NGH	CIC	388	U
RBW	HEP	410	N
VSG	WGM	333	HU
PKO	BKV	559	U
DLI	KUL	979	N
UNO	RKE	601	HU
GOX	YQM	299	HU
BAX	THN	85	U
TDX	QKC	703	N
JPE	SKP	744	U
LRM	CGX	380	U
XBA	KQU	463	N
FSX	LRF	288	N
DMV	HCB	498	N
NKZ	RYC	453	N
UQR	CGO	210	U
BUS	BKZ	851	HU
EOB	NER	634	U
JLJ	GBP	317	U
XTP	CUK	738	U
VKO	RGQ	679	U
BBP	RNW	443	U
RBW	CJM	542	N
KUI	KPC	539	U
XAD	CEM	472	U
CGX	PWS	752	HU
EUI	ZCV	621	HU
LHY	HQX	260	U
YYE	TTP	545	N
FQW	PTO	826	U
ZAG	KJH	246	HU
FUX	TSM	436	HU
ZLP	LPD	469	U
QYR	AJU	705	U
FPH	VJA	636	N
PZL	NOH	880	N
IRB	QHW	405	U
TYL	WVY	398	U
JRG	EIQ	590	U
QHW	JMX	450	HU
ANK	NTD	472	N
VWX	CNJ	485	N
UYY	XSK	406	U
ZAG	GFC	152	HU
VSG	YFV	696	U
JND	HNK	586	U
ILT	DRR	773	N
CGX	SQN	348	N
IHI	MIW	514	N
WTJ	XTX	564	HU
MFI	TYP	654	N
SFL	NIN	437	HU
NRU	BQC	439	N
MNT	XMX	365	HU
RWC	TNS	55	HU
JLJ	WEW	615	HU
IOY	EJZ	446	U
OCX	PIH	631	N
VKG	HQX	272	U
BLT	CBF	315	HU
LKR	UJF	637	N
SIF	PGE	287	N
IKW	BXQ	426	N
EWS	XKY	638	HU
JLJ	XTN	103	HU
DOA	BQC	577	N
JLY	SAQ	268	U
WMF	LGB	507	HU
EBF	LZB	308	N
VXM	OUF	696	N
MDP	FXR	549	N
BMV	XSK	675	U
EEM	XOT	510	HU
SWN	KQK	385	U
CHM	IWU	727	U
RVS	PPW	765	HU
SEH	JRF	254	HU
WXE	EVJ	688	U
QGZ	BGA	490	HU
XPK	OPV	666	N
YXQ	AQD	292	N
FEL	RVS	631	HU
KGO	JOZ	861	N
HQX	MYG	134	HU
ABO	ZHF	656	N
IFV	IAR	398	HU
ZQM	EFK	461	U
MGI	GBV	200	U
SST	FVG	674	N
HNK	PRS	462	HU
FWK	DMV	610	U
CGW	VFO	646	U
FSK	VQC	593	N
JFO	NUT	503	U
WXR	XSN	675	N
YKU	SEC	280	N
ZFS	BUN	369	U
IJD	EOU	817	HU
DMP	IFV	544	N
GTY	VYG	755	U
KVY	BOD	621	N
OVQ	XPK	889	U
BAC	WIQ	383	U
TNS	YFF	580	N
CGQ	LRM	589	HU
TRK	YVI	663	U
CBO	JBT	270	N
TCY	ABO	786	N
SQA	RUB	678	U
UPD	AVM	633	HU
VCD	RGQ	897	N
HZZ	FVE	344	N
SXN	JRY	432	U
FCU	MIA	491	HU
ITQ	SHU	781	HU
UUB	UEB	310	HU
NTD	JRG	55	U
WIQ	VLG	642	HU
NRU	KQH	287	U
PKF	ZFO	1020	U
MCY	WVY	525	HU
MNR	WPL	262	N
HCB	JWA	86	U
RWW	UXP	451	N
MHV	ZJB	342	HU
LPK	KLF	652	HU
NVR	KNR	631	HU
LRM	ZUL	439	N
SOB	ZLP	318	HU
IGF	GED	487	N
OFO	SQA	412	N
YXD	BHV	771	U
SWX	YQW	428	HU
XLY	CCI	677	U
BAX	VXM	525	N
WKT	HCB	548	HU
HSU	CQH	507	N
IEG	XTP	711	HU
FJQ	UWV	305	U
AVF	FMK	432	U
ETI	EBF	102	N
DNH	XAH	662	N
AQD	ADF	565	U
SIV	FPH	475	HU
HMZ	JND	468	N
EVT	RKX	505	HU
JHH	GIC	609	HU
IIR	MTJ	432	U
RUB	SBH	761	U
AKP	YQW	714	U
III	OKW	302	U
JCH	WAL	580	HU
GZM	XGS	121	N
RCT	JRY	225	U
EVT	MYG	335	U
MGS	QVR	882	HU
KAZ	ZTY	235	HU
FEL	NBS	607	HU
WBY	PKO	511	N
ZMF	RYC	505	HU
JEG	UQU	608	U
UIZ	RJY	465	HU
UAD	TTP	661	HU
UYY	AEL	881	HU
WBH	EFC	370	N
BGC	CHM	547	N
WVH	MGI	190	U
AZP	HGD	417	U
RBX	THN	254	N
JXG	CBO	219	N
ONC	XVV	562	U
TRA	LOB	440	N
WSK	RUO	604	U
JPE	HPD	525	HU
YUI	OVR	726	HU
CLK	DPJ	582	U
AVM	HGC	735	U
NZY	RPD	312	N
FQM	WJZ	156	N
WXR	IAR	526	N
JIT	XBA	481	HU
SBH	JIA	602	N
VCD	BBH	353	U
MLW	BQC	510	U
PGZ	IOI	455	N
CGW	UEN	515	U
TRA	SWV	509	U
VOA	XVD	404	N
RCT	CEW	420	N
KPY	FIX	587	N
ZVX	MHM	710	N
QES	ISF	608	HU
UYU	AJY	722	HU
UBZ	LOB	541	N
MFZ	GOX	549	N
GEM	GHK	228	N
BAB	MYT	331	N
VKA	TWZ	351	U
XHF	NCD	425	U
BBY	SDJ	625	U
RTI	JNF	677	N
XSS	KEU	268	HU
FCT	ZQJ	552	U
OVQ	GKR	758	HU
KCM	FUX	383	U
XAD	KCM	376	U
RDP	IJD	530	HU
FPR	MFZ	571	N
LVL	DQP	771	HU
HBF	OPV	860	N
BPN	NGH	240	U
VCH	UUB	524	U
ODH	RGQ	882	N
SEC	VPX	313	HU
ZMJ	JBT	263	HU
ALJ	BAB	488	N
CNE	KUL	386	N
OUG	QJQ	202	N
EEZ	HQX	629	HU
HJH	MIA	506	HU
WJZ	ODH	321	HU
VSF	NYT	310	U
FDB	GFC	281	HU
GJK	UJF	191	U
GOJ	OVH	573	HU
FDB	YQW	290	HU
EEZ	PWI	607	N
SRZ	HWA	650	N
UDH	CIN	872	HU
DMR	BNC	337	U
LAE	NOI	759	HU
UCA	RYV	511	HU
VIX	XJY	556	N
TVY	EOB	225	HU
XVD	SOY	387	U
GZQ	GTY	554	U
BGA	CJM	552	U
XAH	UEN	667	N
GOX	QSZ	709	N
ZZG	AVF	456	U
WNS	JTW	467	HU
PGP	RBX	517	N
CGW	UEB	673	U
VRW	WKS	333	N
DWZ	WOV	527	U
EBF	ZGX	703	N
RDO	BQI	377	HU
OOU	KGV	402	HU
RDQ	SKP	787	U
GED	LGV	689	HU
UKX	CGW	752	U
HRF	DVR	211	N
DYE	PQT	177	N
EEM	FZP	350	U
DQP	EFC	558	U
NXQ	OQA	257	N
AXT	JLP	110	N
VPX	JND	507	HU
SIV	NXH	600	HU
FWD	BAX	686	U
FXR	MFI	592	HU
JWA	SRE	376	U
BMT	EQF	770	HU
RBL	ZIM	408	U
UXP	HTL	385	N
DNH	KIK	607	N
UWV	PTO	506	U
VSJ	MNR	496	U
DWF	ERF	646	U
GMI	YPK	562	U
FGF	TRA	681	N
YTD	IRB	494	N
SJI	AXS	1010	N
JXG	LOB	526	U
FWK	LZJ	489	HU
LZB	ITQ	647	HU
AXS	YHO	528	N
BWO	KDV	567	N
AXT	BUS	103	U
RUO	YZA	568	U
RXJ	SIF	403	HU
HPD	OBF	540	HU
BEX	MIW	354	U
ZFO	YUI	397	N
OOU	IEG	303	HU
OVH	GCA	554	N
QSJ	ZPX	631	N
SOB	VQO	234	HU
XSN	ZUO	397	U
FJQ	RDR	341	U
TCY	OMZ	370	N
ZQJ	CEM	418	N
WEW	TUF	469	N
VYG	BXQ	411	N
YVB	RGG	322	HU
EDR	XCD	334	U
TWD	HGP	462	HU
DKD	YTD	40	N
GRC	NDQ	787	HU
ICL	UAD	331	HU
RBW	TAH	595	U
YZK	EIQ	119	N
UWV	XSN	497	U
SOW	FUX	777	HU
MGS	DWZ	521	U
VYG	QGE	642	HU
ANK	DDK	650	HU
VQE	GHY	569	U
YQW	DMP	567	N
WEW	UAD	324	N
ZFS	LAE	683	U
XWM	WVH	908	HU
TSM	XHN	439	N
NIU	VNU	616	HU
RCS	QMZ	529	N
EIQ	YJG	322	N
BHA	SOD	578	HU
UEK	MHV	500	U
KRP	NOH	427	U
VZB	BKV	253	HU
ITQ	UDI	353	HU
KRA	RQF	578	U
MJU	XVD	593	HU
IIR	VIX	264	HU
IAQ	IPY	703	HU
EUI	VSQ	422	N
DWZ	ZOP	596	U
GFM	RBL	461	U
OEF	BHB	376	N
VHO	EPW	522	N
JCZ	JPE	349	N
MYG	CCI	667	U
HFG	SBH	329	N
LAE	DEG	759	U
JBR	SIM	502	U
BXQ	HXU	892	HU
GFC	MYG	531	U
NGH	GGJ	365	HU
GFC	HEP	509	U
IHN	DGN	227	N
CFU	KGO	548	HU
BAX	IOY	667	HU
QES	PFY	357	N
BAX	KSL	278	HU
UAD	GBP	305	U
ZIH	JCF	461	U
DMR	XSK	492	U
PMV	ZJU	383	U
JTW	ZHF	5	U
RWW	VSG	520	N
SKK	FIW	469	N
MLJ	SAQ	266	U
HWH	EUI	391	HU
TKA	BXQ	364	HU
CHM	WBH	502	N
VQC	IOY	616	HU
AQD	ZAG	305	HU
AJY	HGC	423	U
CTR	FUM	528	U
ZCV	EFK	286	HU
YJG	IPZ	531	N
XVV	UHB	267	N
ZJY	JCF	657	U
YPC	NVT	540	HU
KPZ	CGO	701	HU
MTK	VEK	763	HU
TWD	QVR	480	HU
GJK	ZJU	102	HU
BKZ	NQP	566	HU
YKD	RBW	461	HU
HGW	QRG	580	N
TCJ	HEG	386	HU
WNA	HAD	409	N
CBF	GOJ	465	U
TQE	RJY	710	HU
RGQ	FSX	748	HU
SWX	HPA	553	U
ZXZ	ZTW	676	HU
XXS	OBF	231	HU
SDS	TWZ	562	U
GMI	PGD	261	HU
MHV	NLV	575	HU
UWT	CKH	653	HU
DKD	HRI	151	U
XLY	EYP	331	N
PFY	HXU	275	HU
PUS	RWT	694	HU
ZUL	XTX	185	U
JYB	SWX	318	HU
FIX	GOX	391	N
XKY	ZTY	549	HU
XTX	YPC	532	N
ZWY	EUI	657	N
CJM	YYU	528	HU
EJV	NRH	624	HU
ZJB	NGH	464	HU
QHW	ENT	385	U
HJX	NXX	715	HU
MNR	CHM	341	N
RSU	XKP	534	N
BXZ	FVG	351	N
AXT	JCZ	108	HU
HFJ	RDO	570	N
BQC	VWW	389	U
EEM	CIC	577	HU
DRL	WDQ	520	U
UYG	YVJ	215	U
ZWP	KZS	508	N
JXG	UYG	419	N
BBY	KNR	241	N
YKU	TRA	727	HU
UCW	YVI	236	U
IOI	AVM	338	U
TIP	QRM	428	HU
VPO	NXH	483	N
AKP	LZB	768	HU
GYS	MFI	630	HU
MCY	NUT	270	N
JIA	KUA	771	N
CNJ	DDC	447	U
UCA	ECV	767	HU
FZZ	ODH	90	N
YFF	UXP	273	U
LVL	GVS	775	HU
CIC	NVT	360	N
CIR	BBY	408	HU
PKF	WPL	375	N
GXL	EOB	366	U
DVF	YBB	378	U
CBJ	WAL	439	N
WMF	LAE	569	N
YCP	BPN	327	HU
OKU	ILL	389	U
FIX	UES	842	HU
KVY	VWX	424	U
OMZ	PGR	449	HU
JCF	KUA	507	N
NGH	AKB	295	N
TPT	HMZ	380	U
QES	HQQ	319	U
AVF	DED	485	U
PQT	ZFS	505	U
AJH	HSU	641	HU
OQA	QVW	804	HU
FAS	XVV	349	HU
HGP	AUE	714	HU
ZUO	NGS	708	N
VWX	QTZ	732	U
CIC	DRL	429	U
YFF	NUB	571	HU
HGP	JGG	630	N
OEF	LBB	521	N
ECV	KHW	363	N
MHM	BHB	493	HU
DMP	GZE	859	HU
YQW	IKB	857	N
PBY	FCU	704	U
PNU	LWN	252	HU
YCO	IHI	721	U
UKE	TBY	490	N
HNK	HVJ	732	U
YJP	XSD	504	HU
KNG	BHA	476	HU
XTP	XED	270	N
ZAG	DXL	943	N
PRR	HPA	315	N
SFM	UYG	198	HU
GZQ	WJZ	511	N
VPO	ZHF	268	U
JLJ	BUP	664	U
ZXZ	ZGX	617	U
WJZ	GHY	924	N
CUK	YZA	157	U
TIP	WOV	457	N
ETI	TRK	328	U
FVE	EFK	345	HU
AJU	CDH	591	U
PNL	BNS	413	U
ZHF	PIH	480	HU
DVR	UAD	548	N
BXQ	UKX	254	U
VPO	JIA	275	U
GGJ	DWZ	380	HU
QZO	IAQ	698	U
BMV	MIW	770	U
MRZ	FRP	930	U
NXQ	YVF	132	HU
RRN	DAZ	654	U
CKH	JKU	160	HU
GVS	CUK	623	N
FTT	CGQ	173	N
ZAG	GGJ	599	U
SAQ	SUS	449	U
SKK	QVW	265	U
XSS	SXR	176	HU
NOH	XAD	778	N
TSM	DPJ	225	U
RDR	OZR	630	U
RUO	MYT	576	U
EFU	XSD	623	N
CKH	GKR	370	N
MRB	NZY	379	U
KQH	AEL	604	U
HRF	OBY	315	HU
DYE	EYP	831	HU
FPH	ZPX	454	N
THJ	HJH	279	N
NDU	GVY	513	U
ZUL	BWO	604	HU
DRV	CEP	801	U
NZW	QRS	437	U
QVN	JWA	664	HU
OEF	FQW	511	N
YZK	WBY	598	HU
IEG	WER	674	N
OBI	CYO	391	HU
RSU	ZGI	475	HU
AAK	AZP	598	HU
HFP	SDJ	387	HU
IIR	YQW	607	HU
MTP	PGZ	488	U
QPT	HFP	683	N
FRM	WXR	320	U
HQX	ENT	178	HU
QSJ	GAM	541	U
RUO	GZC	466	U
TRA	EFU	483	HU
BWO	TRK	276	HU
KNR	DVT	550	U
WAL	NZW	440	HU
EDI	KRA	725	HU
EFC	EFU	361	HU
VJA	JMU	602	N
SJI	NXQ	514	U
YXD	TAH	674	HU
TRA	CZY	825	HU
SQN	HFG	362	U
LNA	CZY	507	U
DEG	NSL	642	N
UEB	NBS	505	HU
FDA	FCT	472	HU
YCP	FUZ	506	U
UXY	VOA	515	N
HTL	UUB	527	N
YZD	AKP	695	U
RJX	OUG	710	N
UDH	JHG	291	U
GOJ	LWN	773	N
ATK	DKD	467	N
NRU	MYT	528	U
TWD	BAC	425	U
VZB	JHH	305	U
NRH	HWA	510	U
EOZ	CTR	591	U
RXJ	LGV	244	N
ZJY	IPZ	579	N
DRR	ZKP	607	U
NXQ	RCS	603	N
ZIM	ZFS	448	N
SJN	VYG	269	HU
YCO	JPE	518	U
RKX	OHP	452	U
WXZ	LKR	278	N
XSD	BQC	676	HU
FSX	KCM	86	HU
UFZ	TBY	413	N
YBV	SAQ	427	N
OBF	TUF	629	N
IEE	AKI	595	U
GFM	PAE	462	U
NUT	DRL	329	U
RWC	QSU	785	N
LWJ	PAD	635	HU
QHW	YQW	636	U
YFF	JKU	465	U
FZZ	WGA	330	U
AAK	NOH	955	N
FQW	GTY	521	HU
XBA	AVM	853	U
EEM	PUS	572	HU
GKR	FRP	136	U
HES	GJK	298	HU
HEP	SEC	297	HU
IAR	GED	591	U
GZM	CTR	832	U
JBT	OFO	168	U
CYO	QFG	559	HU
HSU	ZHF	246	U
UQR	QVW	520	N
SZB	PIH	300	U
RRJ	LPO	219	HU
NER	MYG	530	HU
QQE	TWD	285	U
SFM	ZFO	774	U
IAQ	ODH	749	U
NXX	UUB	396	U
KHM	MJU	1041	U
OVH	NDU	743	HU
VLG	IWU	569	U
YWP	XEW	596	N
RVS	LUO	618	N
BXZ	TIP	428	N
RCT	CEW	423	U
LWJ	DNH	424	HU
MNT	AVF	589	HU
JGK	KGV	695	U
BHP	QZO	547	U
FJQ	JWA	412	HU
TNY	VOA	229	U
GHK	QES	858	U
VWX	DQP	606	N
JCH	MDP	607	N
ZZG	VNU	75	U
LSO	PFY	649	U
JZZ	VRW	416	HU
TWD	RRJ	285	N
BDV	AJY	533	N
UUZ	ZUL	389	HU
RFL	NCW	472	HU
MNR	KRP	266	U
GIC	YGM	301	N
SJN	XTX	279	N
XSN	KPC	407	N
PAE	IUQ	664	U
VZB	EOU	676	HU
PKF	IUQ	14	N
BKX	LQF	448	N
HVJ	RUO	440	HU
CST	JCZ	401	U
JUE	YQX	301	HU
JND	EFC	402	U
ACC	JRG	504	N
CBF	YXH	779	U
HGD	KME	317	HU
LND	QJQ	257	HU
BWO	FFJ	769	HU
SSP	SDS	887	HU
PPW	WCF	200	U
OWU	TRA	269	U
UDH	ZWY	686	U
KME	YZF	311	N
PCI	DMR	380	HU
WNA	CBV	403	U
VRW	CLK	643	N
CIC	EFC	738	HU
HGD	FJQ	785	N
YYE	DVB	488	HU
FCU	CNE	750	N
JLY	DOA	659	HU
NXQ	DRR	602	U
YPK	DMR	718	N
WTJ	OVR	388	U
ZHF	KNI	735	U
UCW	HWB	708	HU
MTJ	RGG	803	HU
DWZ	NXA	619	N
DMP	SRZ	602	U
OQM	AJY	591	N
EJV	JMX	119	N
EFU	DOA	58	N
NVT	PWS	542	U
NZY	XWG	663	HU
IHI	BAB	272	N
MGV	YJP	328	N
PGE	BOD	661	N
HSX	ZUL	695	U
ONC	QGZ	586	HU
JCZ	TKE	81	N
NBS	CZY	453	U
WCF	BDV	389	N
FIX	OTD	419	N
HXK	PAE	419	N
VOA	HMZ	237	HU
TSM	UWT	376	U
XCD	DAZ	367	N
GZM	EVJ	416	N
ZMF	SQA	871	U
ILL	JPB	498	N
YQW	CBH	630	HU
III	AKP	997	U
HWH	QFG	672	N
HXU	EYP	606	N
OVR	WCB	474	N
IWU	VLW	170	N
HMA	QGP	684	HU
EEB	RWC	567	U
RBL	SHU	197	U
TRA	RDQ	677	N
MCY	ROO	349	U
DYX	AKB	596	U
QSJ	GZE	586	HU
PFK	SOD	80	HU
VKS	UZH	503	N
KSL	SIV	162	HU
QSU	TAH	461	N
VWW	EIQ	787	N
HXK	EPW	866	U
ZIH	SHU	351	U
YVJ	OVR	558	U
XZE	FRM	296	U
SIF	EIV	565	U
FCU	GBV	494	N
YZD	MIA	496	N
HPA	MYG	568	N
RCT	ENT	412	HU
NDU	PHV	303	HU
HVJ	BTW	657	U
MGV	EOU	851	N
YWP	DPJ	148	U
KRP	KSL	336	U
YGM	UJF	284	HU
LNA	GTY	546	U
AUE	UZH	715	U
YPK	JPU	303	U
HEP	EJZ	408	HU
HFP	KQU	350	N
AXS	FZM	186	U
CST	MGI	412	U
FXR	BEX	944	N
LQF	SZB	582	N
TRK	DNL	597	N
DWZ	YKU	454	HU
NXX	VEK	288	HU
HES	UEA	580	U
UAD	WNS	580	HU
THN	LBB	538	U
FQM	SWV	311	HU
AAK	QGQ	322	U
XJY	FQM	434	U
JZZ	KHW	661	N
ZLP	VQE	526	HU
VQA	BKZ	407	N
XAH	VLW	653	U
KKP	AEG	263	N
TBC	ZVR	505	U
IIR	SFL	885	U
QSD	EUI	648	N
OBI	SOW	536	HU
CGX	DVB	196	HU
SSP	HXU	536	U
JRS	YMC	412	N
WCF	TVY	505	N
EEZ	EVT	606	U
TBE	CHM	435	U
HWH	EDI	776	HU
HGD	TWZ	695	U
APT	UEK	449	U
LPO	ZUO	705	HU
OBY	PID	535	N
WLW	XAD	401	U
VQC	OMV	554	HU
KGF	YCP	776	HU
QVR	JMU	803	U
HCB	CGQ	670	HU
TNS	QGP	831	U
KKP	OKU	557	N
ITQ	MTJ	127	N
QRS	WKT	212	U
CEP	YCO	649	U
JGG	IKB	569	N
CBJ	AXK	214	HU
FUX	CDE	493	N
JHG	RPM	488	N
PBC	PUS	14	U
XHU	XTP	722	U
KNI	GZQ	775	U
VNP	XQF	422	HU
ZTU	QTZ	373	HU
LUO	RWW	487	HU
MYG	YXH	497	HU
FIW	TRA	690	HU
CFU	SAQ	626	N
JUE	HWA	457	HU
IOY	TIP	370	N
OUG	QSD	345	N
EDR	MLW	647	HU
UEA	HBP	223	HU
KPZ	PAE	401	HU
XJY	KVY	845	N
JIA	MDP	448	U
WLW	JUE	603	HU
JGK	CGQ	352	HU
QSD	CEM	377	HU
VSP	SLR	605	U
HES	SIV	504	U
ZJB	UHB	215	HU
SFL	HBF	366	U
XOT	BSF	575	N
CQH	LUQ	743	HU
EJV	CQH	459	HU
XVD	UEN	413	U
QZO	UEA	753	N
VLG	BBY	721	HU
FZP	XCD	471	N
ZTW	RWW	478	HU
YYU	ISF	513	N
LNA	RFL	100	U
MLJ	VKG	379	N
CIC	YZF	503	N
QKC	ACC	773	N
SSS	KOV	575	HU
HPD	FDA	604	HU
BLT	GIC	276	U
WTJ	FVG	772	U
UDF	NQP	105	N
IFV	OPV	652	HU
TNY	LND	637	U
ODH	PNU	351	HU
OLL	XVT	429	U
NXA	NXQ	679	HU
XSK	LGB	445	N
XLY	CHM	601	U
ZWY	XTX	395	U
WPL	XWM	186	U
SLU	IAQ	657	N
III	JTW	510	N
UCA	ZZG	607	HU
EKM	WDQ	441	HU
OWU	JRS	473	U
IUQ	MGI	451	U
TGZ	ILR	708	U
UFZ	ZJB	517	HU
UNO	LPK	460	N
ZAG	QVW	292	HU
OMK	LPK	550	N
AVF	QGQ	599	HU
LIP	RKE	697	N
QVR	CGQ	182	HU
CGO	XKJ	433	U
QPC	YBW	97	HU
PML	NGS	675	U
AXS	FJQ	464	N
VNU	NIU	504	N
UYB	CHS	495	U
ZQJ	NIV	494	HU
UXY	XHU	637	N
YFF	ZUL	547	U
AQD	YVB	605	HU
JAZ	UDF	367	N
CIC	KZS	768	N
TNY	UAD	498	U
KGO	HMZ	434	HU
ZMF	HJY	528	N
KRP	JRS	257	U
EYP	ZLP	305	N
FZZ	RZN	396	U
DWZ	YFF	773	U
EPW	HDZ	843	U
ZZQ	EEZ	507	U
JTW	UIZ	654	HU
GAF	RWT	1016	HU
OPV	VCD	203	U
VCH	JMV	609	HU
TDX	LNA	502	U
VSQ	FJD	407	HU
SHU	QPC	544	N
EFU	EVJ	900	HU
YBW	JUO	161	N
OUA	SRZ	728	U
GEM	NXH	467	HU
XQU	RPP	811	N
HFP	SSP	561	U
SHU	SST	256	N
XUL	UBZ	364	N
AYI	OTD	549	N
SZB	HFP	365	N
GVS	ICL	572	N
WLW	QQE	511	N
JTW	CHM	200	U
NWY	TNV	480	N
CBO	QPT	298	U
FAF	QRG	638	HU
TDX	NUB	757	U
HIB	ETI	358	HU
DNH	NIV	440	HU
LKF	FIW	505	HU
UHB	XVV	573	U
SJI	TCJ	1088	HU
VTT	KGO	464	U
XKY	RRJ	635	U
GOJ	DVR	429	U
RZN	NWY	863	U
UZH	ECV	496	HU
HGD	UYY	457	U
WBH	BOD	406	N
RCS	VLW	222	HU
TKA	BDV	379	HU
XTP	KWZ	638	HU
VOA	CIU	315	N
HZE	KUL	142	N
TYX	MHR	669	N
WCN	FPI	631	N
TSM	QZJ	807	U
WSK	SKK	371	U
PHV	OBI	467	HU
OQA	KPZ	587	U
QES	ZAG	620	N
FPI	FLV	761	U
GYR	QOW	248	U
EQF	KKP	648	U
PGD	RWW	754	HU
JAD	MYL	777	U
OUQ	XVD	662	N
TKE	RZN	284	N
JNF	OJH	615	HU
JOJ	RGQ	538	U
CFU	YAR	353	U
YVB	STC	585	N
EFU	BQC	672	U
ZQJ	PFK	641	U
OVQ	HJX	708	HU
VQE	NGA	346	N
KME	LHY	243	U
AXX	FVE	955	N
KQH	CJM	798	N
DRL	LNA	439	HU
YFS	MLJ	559	U
OVR	WMF	738	N
EVJ	HBF	730	HU
PBY	BQC	416	U
EVT	CHM	472	HU
OVR	EFU	493	U
HGA	WXR	473	HU
JIT	XHN	647	HU
RFL	BTY	583	HU
NSL	EOZ	321	N
KPY	OCA	522	U
RTI	WMF	720	HU
ANK	SFB	542	N
APT	MFZ	522	N
VKC	BEX	554	U
RRJ	UUZ	451	U
HWA	IEE	359	N
SXR	VYG	411	N
SDJ	QYR	461	HU
UUZ	VCP	893	HU
GMI	NIU	852	N
KGF	MGS	388	N
TYP	VSJ	585	U
EEB	RWT	285	U
IHN	WOV	493	HU
YZF	DRR	616	N
HIB	CEW	361	N
CIU	EDR	613	U
XSD	KGO	652	N
HWB	RBL	425	U
RZN	GQI	801	HU
IPZ	VLG	632	HU
WVY	BXQ	552	N
HNK	SQN	232	HU
XQF	OHP	211	N
YZK	UWR	469	HU
MIA	VIX	797	U
VFO	XAD	587	N
BUP	BXZ	667	N
YKD	XLY	397	N
VQE	JGG	291	U
RXJ	XKJ	631	N
EWS	CLK	389	HU
OQA	BUP	625	N
ZUO	CHM	725	N
FZP	ZVR	359	HU
ZKP	ROO	445	HU
ZFO	JGG	613	HU
MGI	VZB	371	N
GZO	EOH	373	N
NGA	EZW	526	U
YQI	NTD	457	HU
PAD	PGR	250	HU
FRM	KRP	537	U
MTP	WAH	757	N
ZMF	JCF	528	U
AYI	OBY	679	HU
FPI	DDV	388	N
HGA	NVT	756	N
XAD	MTK	406	N
QVP	MOI	748	N
CYO	PID	317	N
FEL	ACC	359	HU
RZN	EVT	582	HU
GQI	HSU	521	HU
DMP	KDV	681	U
NWY	PGD	101	N
UCW	PGD	870	U
OCX	EFU	507	U
BFY	LPK	371	U
VWW	GWX	11	U
RXJ	ROO	455	HU
ILL	EJZ	874	U
UCW	KNG	499	HU
XSD	EBF	407	HU
RGG	WSK	577	U
OVH	TBE	734	U
TWD	QQE	304	U
RAE	ENT	554	HU
AJU	JTW	592	N
NGS	XVV	313	N
OMV	VZB	627	HU
ZYH	DVF	424	N
XHN	SDJ	349	U
OTD	VSG	482	N
JAD	PKF	677	U
RYV	XHU	610	HU
VIX	ZJB	898	N
NRH	FUM	887	U
BEX	JIA	327	N
QGE	JIA	394	U
QGE	LWJ	606	N
RZN	WAL	705	U
ZTY	CIC	774	HU
LWN	JGG	728	U
GEM	WXR	553	N
CKH	AZP	290	U
CFU	OZR	738	N
URY	JZZ	595	HU
SHG	FRP	555	N
HQQ	PUN	282	HU
VFO	JUE	419	U
FSK	ZMO	716	U
YQI	BXZ	731	U
FXR	KNG	357	N
TTP	IEE	214	HU
PRR	MYL	378	HU
